id,symbol,name,priceUsd,marketCapUsd,volumeUsd24Hr,changePercent24Hr,ingestion_time
bitcoin,BTC,Bitcoin,90504.0,1.807897485562E12,1.6228424558E10,0.24801,2026-01-10T19:46:53.000Z
ethereum,ETH,Ethereum,3087.0,3.72725758063E11,8.034397779E9,0.48605,2026-01-10T19:46:53.000Z
tether,USDT,Tether,0.998796,1.86740191701E11,3.0643643938E10,-0.01185,2026-01-10T19:46:53.000Z
ripple,XRP,XRP,2.09,1.27074928856E11,1.364116548E9,0.51686,2026-01-10T19:46:53.000Z
binancecoin,BNB,BNB,912.81,1.25746575466E11,1.251542617E9,2.41401,2026-01-10T19:46:53.000Z
solana,SOL,Solana,135.94,7.6702791163E10,2.12178738E9,0.15759,2026-01-10T19:46:53.000Z
usd-coin,USDC,USDC,1.0,7.4732064168E10,4.864384988E9,0.04904,2026-01-10T19:46:53.000Z
tron,TRX,TRON,0.298906,2.8306367742E10,5.17681078E8,0.43101,2026-01-10T19:46:53.000Z
staked-ether,STETH,Lido Staked Ether,3091.29,2.7558206982E10,6558818.0,0.63034,2026-01-10T19:46:53.000Z
dogecoin,DOGE,Dogecoin,0.140067,2.1368267345E10,5.0001781E8,0.32868,2026-01-10T19:46:53.000Z
